Id,DisplayName,CompanyName,GivenName,FamilyName,PrimaryEmailAddr_Address,PrimaryPhone_FreeFormNumber,BillAddr_Line1,BillAddr_City,BillAddr_State,BillAddr_Country,Entity,EntityName,Industry,BillingCadence,CurrencyRef_value,CurrencyRef_name,Terms,CreditLimit,Taxable,Active,PreferredDeliveryMethod,Job,BillWithParent,IsProject,domain,sparse,SyncToken,MetaData_CreateTime
2000,Global Retail Partners,Global Retail Partners,Nora,Solberg,nora.solberg@globalretailpartners.com,+31-11-9414624,"9059 Terminal Way, Suite 304",Antwerp,BE,NLD,NWC,Northwind Cargo B.V.,Retail,Monthly,EUR,Euro,Net 30,850000,False,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2001,Vantage Consumer Brands,Vantage Consumer Brands,Angela,Nowak,angela.nowak@vantageconsumerbrands.com,+1-330-729-6998,"7611 Oak Ave, Suite 587",Memphis,TN,USA,MLG,Meridian Logistics LLC,CPG,Monthly,USD,US Dollar,Net 45,520000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2002,Ironbridge Manufacturing,Ironbridge Manufacturing,Lena,Sandoval,lena.sandoval@ironbridgemanufacturing.com,+1-256-426-3911,"5482 Oak Ave, Suite 181",Columbus,OH,USA,MLG,Meridian Logistics LLC,Industrial,Monthly,USD,US Dollar,Net 30,480000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2003,Northline Grocers Co-op,Northline Grocers Co-op,Nora,Moreau,nora.moreau@northlinegrocerscoop.com,+1-437-255-1759,"2276 Commerce Dr, Suite 756",Memphis,TN,USA,CFS,Cascade Freight Systems Inc,Grocery,Monthly,USD,US Dollar,Net 45,500000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2004,Vertex Pharma Distribution,Vertex Pharma Distribution,Devon,Devereaux,devon.devereaux@vertexpharmadistribution.com,+31-78-9316137,"1824 Cedar Ln, Suite 759",Antwerp,BE,NLD,NWC,Northwind Cargo B.V.,Pharma,Monthly,EUR,Euro,Net 30,400000,False,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2005,Solstice Home Goods,Solstice Home Goods,Ingrid,Whitfield,ingrid.whitfield@solsticehomegoods.com,+1-853-599-2292,"7197 Commerce Dr, Suite 618",Columbus,OH,USA,APX,Apex Warehousing LLC,Retail,Monthly,USD,US Dollar,Net 60,380000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2006,Kestrel Auto Components,Kestrel Auto Components,Nora,Vasquez,nora.vasquez@kestrelautocomponents.com,+1-469-250-8826,"4140 Industrial Pkwy, Suite 748",Newark,NJ,USA,MLG,Meridian Logistics LLC,Automotive,Monthly,USD,US Dollar,Net 15,300000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2007,Redstone Building Supply,Redstone Building Supply,Victor,Marchetti,victor.marchetti@redstonebuildingsupply.com,+1-717-281-5141,"8435 Commerce Dr, Suite 324",Memphis,TN,USA,CFS,Cascade Freight Systems Inc,Construction,Monthly,USD,US Dollar,Net 15,280000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2008,Halcyon Beverage Co,Halcyon Beverage Co,Rachel,Mensah,rachel.mensah@halcyonbeverageco.com,+1-283-530-8594,"9866 Terminal Way, Suite 792",Dallas,TX,USA,MLG,Meridian Logistics LLC,Beverage,Monthly,USD,US Dollar,Net 45,250000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2009,Cobalt Electronics,Cobalt Electronics,Owen,Marchetti,owen.marchetti@cobaltelectronics.com,+31-57-7970486,"4170 Cedar Ln, Suite 138",Hamburg,DE,NLD,NWC,Northwind Cargo B.V.,Electronics,Monthly,EUR,Euro,Net 45,280000,False,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2010,Aurora Textiles Group,Aurora Textiles Group,Bianca,Moreau,bianca.moreau@auroratextilesgroup.com,+31-79-1345316,"5223 Oak Ave, Suite 555",Hamburg,DE,NLD,NWC,Northwind Cargo B.V.,Apparel,Monthly,EUR,Euro,Net 45,220000,False,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2011,Meadowvale Farms,Meadowvale Farms,Naomi,Kowalczyk,naomi.kowalczyk@meadowvalefarms.com,+1-292-861-3442,"7551 Terminal Way, Suite 176",Charlotte,NC,USA,CFS,Cascade Freight Systems Inc,Agriculture,Monthly,USD,US Dollar,Net 45,220000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2012,Pinnacle Sports Supply,Pinnacle Sports Supply,Marcus,Okafor,marcus.okafor@pinnaclesportssupply.com,+1-530-421-6279,"9301 Industrial Pkwy, Suite 741",Dallas,TX,USA,APX,Apex Warehousing LLC,Retail,Monthly,USD,US Dollar,Net 30,220000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2013,Summit Medical Supply,Summit Medical Supply,Rachel,Whitfield,rachel.whitfield@summitmedicalsupply.com,+1-280-359-3718,"3309 Terminal Way, Suite 763",Atlanta,GA,USA,MLG,Meridian Logistics LLC,Healthcare,Monthly,USD,US Dollar,Net 60,250000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2014,Polaris Cold Chain,Polaris Cold Chain,Marcus,Lindqvist,marcus.lindqvist@polariscoldchain.com,+31-30-4697674,"3723 Cedar Ln, Suite 328",Duisburg,DE,NLD,NWC,Northwind Cargo B.V.,Food,Monthly,EUR,Euro,Net 30,250000,False,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2015,Copperfield Chemicals,Copperfield Chemicals,Devon,Vandermeer,devon.vandermeer@copperfieldchemicals.com,+1-227-392-3870,"6069 Commerce Dr, Suite 265",Columbus,OH,USA,CFS,Cascade Freight Systems Inc,Chemicals,Monthly,USD,US Dollar,Net 45,200000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2016,Trailhead Outdoor Gear,Trailhead Outdoor Gear,Grant,Delacroix,grant.delacroix@trailheadoutdoorgear.com,+1-292-619-4027,"3067 Industrial Pkwy, Suite 158",Seattle,WA,USA,APX,Apex Warehousing LLC,Retail,Monthly,USD,US Dollar,Net 30,200000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
