Id,DocNumber,TxnDate,DueDate,Period,Entity,EntityName,CustomerRef_value,CustomerRef_name,CustomerIndustry,ItemRef_value,ItemRef_name,Sku,Description,Qty,UnitPrice,IncomeAccountNum,IncomeAccountName,ServiceLine,CurrencyRef_value,CurrencyRef_name,ExchangeRate,TotalAmt,TotalAmtUSD,Balance,Status,SalesTermRef_name,PaymentDate,DaysToPay,DaysOutstanding,BillEmail_Address,BillAddr_Line1,BillAddr_City,BillAddr_Country,PrintStatus,EmailStatus,PrivateNote,domain,sparse,SyncToken
5001,1001,2024-07-11,2024-08-25,2024-07,MLG,Meridian Logistics LLC,2001,Vantage Consumer Brands,CPG,4017,Last Mile Delivery Program,LM-DEL-ST,Last Mile Delivery Program - 2024-07,2,65338.57,4060,Revenue - Last Mile Delivery,Last Mile Delivery,USD,US Dollar,1.0,130677.14,130677.14,0.0,Paid,Net 45,2024-08-29,49,,angela.nowak@vantageconsumerbrands.com,"7611 Oak Ave, Suite 587",Memphis,USA,NotSet,EmailSent,,QBO,False,0
5002,1002,2024-07-09,2024-08-08,2024-07,MLG,Meridian Logistics LLC,2002,Ironbridge Manufacturing,Industrial,4000,Freight Brokerage - Standard,FRT-BRK-STD,Freight Brokerage - Standard - 2024-07,3,37678.26,4000,Revenue - Freight Brokerage,Freight Brokerage,USD,US Dollar,1.0,113034.78,113034.78,0.0,Paid,Net 30,2024-08-05,27,,lena.sandoval@ironbridgemanufacturing.com,"5482 Oak Ave, Suite 181",Columbus,USA,NotSet,EmailSent,,QBO,False,0
5003,1003,2024-07-24,2024-08-08,2024-07,MLG,Meridian Logistics LLC,2006,Kestrel Auto Components,Automotive,4021,Freight Bill Audit & Pay,SVC-AUDIT,Freight Bill Audit & Pay - 2024-07,2,36842.57,4090,Revenue - Software & Data Services,Software & Data Services,USD,US Dollar,1.0,73685.14,73685.14,0.0,Paid,Net 15,2024-08-16,23,,nora.vasquez@kestrelautocomponents.com,"4140 Industrial Pkwy, Suite 748",Newark,USA,NotSet,EmailSent,,QBO,False,0
5004,1004,2024-07-05,2024-08-19,2024-07,MLG,Meridian Logistics LLC,2008,Halcyon Beverage Co,Beverage,4021,Freight Bill Audit & Pay,SVC-AUDIT,Freight Bill Audit & Pay - 2024-07,1,65855.27,4090,Revenue - Software & Data Services,Software & Data Services,USD,US Dollar,1.0,65855.27,65855.27,0.0,Paid,Net 45,2024-09-01,58,,rachel.mensah@halcyonbeverageco.com,"9866 Terminal Way, Suite 792",Dallas,USA,NotSet,EmailSent,,QBO,False,0
5005,1005,2024-07-16,2024-09-14,2024-07,MLG,Meridian Logistics LLC,2013,Summit Medical Supply,Healthcare,4008,LTL Consolidation - Lane Program,LTL-CON-LN,LTL Consolidation - Lane Program - 2024-07,3,19292.68,4020,Revenue - LTL Consolidation,LTL Consolidation,USD,US Dollar,1.0,57878.04,57878.04,0.0,Paid,Net 60,2024-09-14,60,,rachel.whitfield@summitmedicalsupply.com,"3309 Terminal Way, Suite 763",Atlanta,USA,NotSet,EmailSent,,QBO,False,0
5006,1006,2024-07-11,2024-08-10,2024-07,MLG,Meridian Logistics LLC,2017,Onyx Packaging Systems,Packaging,4017,Last Mile Delivery Program,LM-DEL-ST,Last Mile Delivery Program - 2024-07,3,15704.72,4060,Revenue - Last Mile Delivery,Last Mile Delivery,USD,US Dollar,1.0,47114.16,47114.16,0.0,Paid,Net 30,2024-08-08,28,,nora.kowalczyk@onyxpackagingsystems.com,"7811 Commerce Dr, Suite 219",Phoenix,USA,NotSet,EmailSent,,QBO,False,0
5007,1007,2024-07-02,2024-08-01,2024-07,MLG,Meridian Logistics LLC,2023,Atlas Bearing Works,Industrial,4017,Last Mile Delivery Program,LM-DEL-ST,Last Mile Delivery Program - 2024-07,3,15362.14,4060,Revenue - Last Mile Delivery,Last Mile Delivery,USD,US Dollar,1.0,46086.42,46086.42,0.0,Paid,Net 30,2024-07-29,27,,claire.ashworth@atlasbearingworks.com,"1081 Commerce Dr, Suite 448",Dallas,USA,NotSet,EmailSent,,QBO,False,0
5008,1008,2024-07-27,2024-09-10,2024-07,CFS,Cascade Freight Systems Inc,2003,Northline Grocers Co-op,Grocery,4003,Intermodal Rail Program,SVC-RAIL,Intermodal Rail Program - 2024-07,2,52860.64,4000,Revenue - Freight Brokerage,Freight Brokerage,USD,US Dollar,1.0,105721.28,105721.28,0.0,Paid,Net 45,2024-09-20,55,,nora.moreau@northlinegrocerscoop.com,"2276 Commerce Dr, Suite 756",Memphis,USA,NotSet,EmailSent,,QBO,False,0
5009,1009,2024-07-28,2024-08-12,2024-07,CFS,Cascade Freight Systems Inc,2007,Redstone Building Supply,Construction,4006,Dedicated Fleet - Monthly Contract,DED-FLT-MO,Dedicated Fleet - Monthly Contract - 2024-07,3,20092.56,4010,Revenue - Dedicated Fleet,Dedicated Fleet,USD,US Dollar,1.0,60277.68,60277.68,0.0,Paid,Net 15,2024-08-14,17,,victor.marchetti@redstonebuildingsupply.com,"8435 Commerce Dr, Suite 324",Memphis,USA,NotSet,EmailSent,,QBO,False,0
5010,1010,2024-07-08,2024-08-22,2024-07,CFS,Cascade Freight Systems Inc,2011,Meadowvale Farms,Agriculture,4004,Flatbed & Oversize Transport,SVC-FLAT,Flatbed & Oversize Transport - 2024-07,3,16631.73,4000,Revenue - Freight Brokerage,Freight Brokerage,USD,US Dollar,1.0,49895.19,49895.19,0.0,Paid,Net 45,2024-08-15,38,,naomi.kowalczyk@meadowvalefarms.com,"7551 Terminal Way, Suite 176",Charlotte,USA,NotSet,EmailSent,,QBO,False,0
5011,1011,2024-07-17,2024-08-31,2024-07,CFS,Cascade Freight Systems Inc,2015,Copperfield Chemicals,Chemicals,4005,Refrigerated Truckload,SVC-REEF,Refrigerated Truckload - 2024-07,3,14643.57,4000,Revenue - Freight Brokerage,Freight Brokerage,USD,US Dollar,1.0,43930.71,43930.71,0.0,Paid,Net 45,2024-09-19,64,,devon.vandermeer@copperfieldchemicals.com,"6069 Commerce Dr, Suite 265",Columbus,USA,NotSet,EmailSent,,QBO,False,0
5012,1012,2024-07-26,2024-08-25,2024-07,CFS,Cascade Freight Systems Inc,2018,Ferrous Metals Trading,Metals,4007,Driver Leasing Program,SVC-DRIVE,Driver Leasing Program - 2024-07,3,14689.91,4010,Revenue - Dedicated Fleet,Dedicated Fleet,USD,US Dollar,1.0,44069.73,44069.73,0.0,Paid,Net 30,2024-08-30,35,,naomi.ellsworth@ferrousmetalstrading.com,"2584 Havenweg, Suite 861",Memphis,USA,NotSet,EmailSent,,QBO,False,0
5013,1013,2024-07-28,2024-09-11,2024-07,CFS,Cascade Freight Systems Inc,2021,Highmark Steel Service,Metals,4004,Flatbed & Oversize Transport,SVC-FLAT,Flatbed & Oversize Transport - 2024-07,2,20883.74,4000,Revenue - Freight Brokerage,Freight Brokerage,USD,US Dollar,1.0,41767.48,41767.48,0.0,Paid,Net 45,2024-09-17,51,,claire.vandermeer@highmarksteelservice.com,"9247 Oak Ave, Suite 708",Charlotte,USA,NotSet,EmailSent,,QBO,False,0
5014,1014,2024-07-03,2024-08-02,2024-07,NWC,Northwind Cargo B.V.,2000,Global Retail Partners,Retail,4002,Port Drayage Program,SVC-DRAY,Port Drayage Program - 2024-07,1,107166.74,4000,Revenue - Freight Brokerage,Freight Brokerage,EUR,Euro,1.09,107166.74,116811.75,0.0,Paid,Net 30,2024-07-26,23,,nora.solberg@globalretailpartners.com,"9059 Terminal Way, Suite 304",Antwerp,NLD,NotSet,EmailSent,,QBO,False,0
5015,1015,2024-07-28,2024-08-27,2024-07,NWC,Northwind Cargo B.V.,2004,Vertex Pharma Distribution,Pharma,4001,Freight Brokerage - International,FRT-BRK-INT,Freight Brokerage - International - 2024-07,3,16848.17,4000,Revenue - Freight Brokerage,Freight Brokerage,EUR,Euro,1.09,50544.51,55093.52,0.0,Paid,Net 30,2024-09-14,48,,devon.devereaux@vertexpharmadistribution.com,"1824 Cedar Ln, Suite 759",Antwerp,NLD,NotSet,EmailSent,,QBO,False,0
5016,1016,2024-07-08,2024-08-22,2024-07,NWC,Northwind Cargo B.V.,2009,Cobalt Electronics,Electronics,4015,Customs Entry & Clearance,CUS-ENTRY,Customs Entry & Clearance - 2024-07,1,32728.83,4050,Revenue - Customs & Compliance,Customs & Compliance,EUR,Euro,1.09,32728.83,35674.42,0.0,Paid,Net 45,2024-08-18,41,,owen.marchetti@cobaltelectronics.com,"4170 Cedar Ln, Suite 138",Hamburg,NLD,NotSet,EmailSent,,QBO,False,0
